,year,BIM,COL,CPR,CRO,FEO,FOF,GAS,GBO,MEO,NFO,NMA,NMC,NMM,ONT,PET,RAW,WCH,WOD
0,2000,483.06764000000015,80.7069098,86.061887346,175.89193000000014,25.656225300000003,304.1935675700001,80.48445767000001,130.25248430000002,179.95252699999995,25.656225300000003,57.35667000000001,645.9924399999999,677.33582,9.93026,133.07189999999997,1644.549540000001,9.207861800000007,79.52055999999999
1,2001,479.80988,83.67343680000003,89.54390559999997,175.82525999999993,22.105270000000004,312.8809162800001,83.79926668,124.98908999999996,180.2725975000001,22.105270000000004,56.859240000000014,622.5074556799997,653.8567299999999,9.968620000000001,135.43965,1626.8200599999996,8.856449199999998,77.98069999999998
2,2002,478.5331400000001,83.97370000000001,87.02731034000003,176.30237000000005,31.273030000000002,321.81779447,84.86115036999998,124.93904,189.96791999999994,31.273030000000002,64.83421,632.5658199999999,666.3554799999997,10.241290000000001,142.74159000000003,1656.6743499999995,9.594591399999999,77.4268099999999
3,2003,479.1203699999998,86.38083000000002,87.77893632699998,177.38807999999995,35.501279999999994,329.06401076000003,87.43684755999999,124.29060000000001,199.29846000000006,35.501279999999994,66.37199999999993,638.5845199999999,671.3444000000002,12.391020000000001,142.85538,1678.8272000000006,9.385410000000002,79.40727000000008
4,2004,497.13378000000034,86.00071909999997,95.844135604,176.00848000000013,35.8560326,333.42062690000006,90.29307690000002,126.23322999999998,199.91269000000003,35.8560326,67.38897889999997,688.7174600000002,726.6111489000003,11.908859999999999,145.21802000000008,1757.0782800000002,9.185229999999995,78.45107000000007
5,2005,493.35906000000006,86.45738759999998,95.17443000000004,185.09776,33.668679999999995,333.57709372,90.33135372000001,128.81295626999997,195.75926,33.668679999999995,68.57991609999993,759.97693,796.1253061000002,11.497750000000002,145.29064000000008,1818.8207799999993,8.953497899999999,79.8542
6,2006,492.60939999999977,95.73480609999994,94.20105650000002,178.17974000000007,37.09904906999998,347.84632458,92.99444458000002,131.17268999999996,201.46424000000007,37.09904906999998,72.99920120000004,812.8458655600001,842.0008032999996,11.20379,147.91319000000001,1883.9207300000012,7.55408,78.50422999999999
7,2007,494.05672000000015,95.47094000000006,90.60456564400005,178.75888000000003,44.66797000000001,347.70690293000007,92.60323293000003,133.20951190000002,211.77392,44.66797000000001,74.98524700000003,851.7290799999996,884.9908705999995,13.33837,146.29435000000007,1938.5284200000008,7.69823,80.71168
8,2008,503.23278000000005,96.02819640000003,100.56329318,179.43041000000008,49.89643,350.0080472,91.9014117,131.67213999999996,217.87045,49.89643,68.94828800000005,872.3139999999997,902.0520780000003,13.172849999999999,148.90564000000012,1973.1634599999995,6.337419999999999,78.10289000000003
9,2010,496.05228000000017,92.86361220000002,97.58734444400002,180.87305999999984,34.463109999999986,341.13927499,91.89531449000002,134.05456999999998,201.59147000000002,34.463109999999986,61.17029299999999,734.3513199999999,759.6839330000003,14.785339999999998,141.59507000000005,1798.46695,5.584180311999997,79.23982
10,2011,508.86683000000005,96.30174010000002,102.60812395319999,177.3421800000001,32.71651000000001,342.54112463,92.72099312999998,131.93829,204.02342639999998,32.71651000000001,60.98772060000002,720.0592600000002,740.1282105999998,15.514790000000001,138.00353999999996,1795.5597199999986,5.91676,80.23691000000001
11,2012,503.40698999999995,92.71811899999993,100.07850544479994,185.98152000000005,32.93586000000002,339.94239453,93.71339203,133.26869259000003,207.68521999999996,32.93586000000002,67.06293830000001,687.5339699999995,713.3545582999999,15.661970000000002,137.84897999999998,1764.3891999999996,6.4439699999999975,80.71676999999995
12,2013,515.4826100000002,91.65673049999992,105.54075477000005,180.73357000000016,33.031070000000014,336.33933443000006,94.78115283000001,132.68219503000003,216.5203863000001,33.031070000000014,68.80917609999997,693.3262800000002,716.8429360999999,17.023770000000003,132.87770999999995,1785.1851799999993,5.867850000000002,81.54516
13,2014,523.35841,88.3163521,108.56338869000002,187.68903000000006,39.62632999999999,331.41108427,93.45208997000005,133.21357451,222.06733000000003,39.62632999999999,68.88356220000001,711.5625899999999,735.6879422000003,17.4298,132.21286,1812.5247000000008,4.656649999999996,83.54325000000004
14,2015,523.9997500000002,87.06770210000002,109.77400383999999,191.28087000000005,40.89450999999999,330.90875412,92.80779711999999,133.38302401999997,225.32945,40.89450999999999,68.85364830000002,716.9353699999998,740.4939582999998,16.437800000000003,134.5954,1820.7318300000002,4.381190000000001,82.45957999999999
15,2016,526.0937299999999,87.17942999999994,110.97753903199998,191.94116999999994,42.15358,332.0740739600002,93.74028446000001,133.54361356,228.74022000000005,42.15358,68.66323460000001,722.6328799999999,745.4319145999999,17.00457,134.14981999999995,1832.3399500000007,4.110700000000002,82.83155000000002
16,2017,528.18646,87.37555999999995,112.1665244,195.2627999999999,43.38758999999999,333.53718381000016,94.76301200999998,133.69983311999994,109.09863999999997,43.38758999999999,68.50828880000002,729.8101899999998,751.8517509999996,17.57173,133.82678000000007,1845.7805299999998,3.844429999999999,83.21287000000004
